id,label
1,1
2,1
3,1
4,1
5,0.005
6,0.005
7,0.005
8,0.005
9,0.005
10,0.005
11,0.005
12,1
13,0.005
14,0.005
15,0.005
16,0.005
17,0.9999969006
18,1
19,0.005
20,0.005
21,1
22,0.005
23,1
24,1
25,0.005
26,1
27,1
28,0.005
29,0.0685140863
30,0.9999997616
31,1
32,0.0059811743
33,1
34,0.005
35,0.005
36,0.005
37,0.005
38,0.005
39,0.9999990463
40,0.005
41,1
42,1
43,1
44,1
45,0.005
46,1
47,0.005
48,1
49,1
50,0.005
51,0.005
52,0.005
53,0.005
54,0.005
55,0.005
56,0.9999998808
57,1
58,0.005
59,0.9999998808
60,0.005
61,0.005
62,0.999999404
63,0.005
64,0.005
65,1
66,1
67,1
68,0.005
69,1
70,1
71,1
72,1
73,1
74,1
75,0.005
76,1
77,1
78,1
79,1
80,0.005
81,0.005
82,0.005
83,1
84,0.005
85,1
86,0.9994736314
87,1
88,1
89,0.005
90,0.005
91,0.005
92,0.005
93,0.005
94,1
95,1
96,0.005
97,1
98,0.9999998808
99,0.005
100,0.005
101,0.005
102,1
103,0.005
104,0.005
105,1
106,1
107,0.005
108,0.005
109,0.9999998808
110,1
111,1
112,1
113,1
114,0.005
115,0.005
116,0.005
117,0.005
118,1
119,1
120,0.005
121,0.005
122,0.005
123,0.005
124,0.005
125,0.005
126,0.9989659786
127,1
128,0.005
129,0.005
130,0.9999668598
131,1
132,1
133,0.005
134,0.005
135,0.005
136,0.005
137,1
138,0.8763343692
139,0.005
140,0.005
141,0.005
142,1
143,1
144,0.005
145,0.005
146,1
147,0.9999967813
148,0.005
149,0.005
150,0.005
151,0.9999992847
152,0.005
153,0.005
154,0.005
155,1
156,0.005
157,0.005
158,0.9999996424
159,1
160,1
161,0.005
162,0.005
163,0.005
164,1
165,0.005
166,0.005
167,1
168,0.005
169,0.005
170,0.005
171,0.005
172,1
173,0.9966262579
174,0.005
175,1
176,1
177,1
178,1
179,1
180,0.005
181,1
182,1
183,0.005
184,0.005
185,0.005
186,0.005
187,0.005
188,0.005
189,0.005
190,1
191,0.005
192,0.005
193,0.005
194,0.005
195,0.9999998808
196,1
197,0.9999988079
198,0.005
199,1
200,0.9773269296
201,1
202,0.005
203,1
204,1
205,0.005
206,0.005
207,1
208,0.005
209,0.005
210,0.005
211,1
212,1
213,0.005
214,1
215,1
216,1
217,1
218,0.005
219,1
220,1
221,0.005
222,1
223,1
224,0.005
225,1
226,1
227,1
228,0.005
229,1
230,0.005
231,1
232,0.0089997575
233,0.005
234,0.005
235,1
236,0.9999991655
237,0.005
238,0.9999945164
239,0.005
240,1
241,1
242,1
243,0.005
244,0.9999966621
245,1
246,0.005
247,1
248,0.005
249,0.005
250,1
251,1
252,0.005
253,1
254,0.005
255,0.005
256,0.005
257,1
258,1
259,0.005
260,0.005
261,0.005
262,0.9999991655
263,0.005
264,0.005
265,0.9999989271
266,0.005
267,0.005
268,0.005
269,0.9999998808
270,1
271,1
272,0.005
273,1
274,0.005
275,0.005
276,0.9999998808
277,0.9999933243
278,0.005
279,0.005
280,1
281,0.9999997616
282,1
283,0.005
284,1
285,0.005
286,1
287,0.005
288,0.005
289,1
290,0.005
291,0.005
292,1
293,1
294,0.005
295,0.005
296,1
297,1
298,0.9999984503
299,1
300,0.005
301,0.005
302,0.005
303,0.005
304,0.005
305,0.005
306,1
307,1
308,0.005
309,0.005
310,0.005
311,0.005
312,0.005
313,0.005
314,0.005
315,1
316,0.005
317,1
318,0.005
319,1
320,0.005
321,0.005
322,1
323,0.005
324,0.005
325,0.9999969006
326,0.9999886751
327,1
328,1
329,0.005
330,0.005
331,0.9999988079
332,0.9950738549
333,1
334,0.005
335,0.005
336,0.005
337,1
338,0.005
339,0.005
340,0.005
341,0.005
342,0.005
343,0.005
344,0.005
345,0.005
346,1
347,0.005
348,0.9999998808
349,0.005
350,1
351,0.005
352,1
353,1
354,0.9998759031
355,0.9999997616
356,1
357,0.005
358,1
359,0.005
360,0.005
361,1
362,0.005
363,1
364,0.005
365,0.999984622
366,1
367,1
368,1
369,1
370,1
371,1
372,0.005
373,1
374,0.005
375,1
376,0.005
377,1
378,0.005
379,1
380,0.9997014403
381,0.9999821186
382,0.005
383,1
384,1
385,1
386,0.005
387,0.005
388,0.005
389,1
390,0.005
391,0.005
392,0.2230569571
393,0.005
394,1
395,1
396,0.005
397,1
398,0.005
399,1
400,0.9999998808
401,1
402,0.005
403,1
404,0.005
405,1
406,0.9999998808
407,0.005
408,0.005
409,0.005
410,0.005
411,1
412,1
413,1
414,0.005
415,1
416,0.005
417,0.999999404
418,1
419,0.9999871254
420,1
421,1
422,1
423,1
424,1
425,1
426,0.005
427,0.9999966621
428,0.005
429,1
430,1
431,1
432,0.005
433,0.9999915361
